,title,price,shipping
0,DELL LAPTOP LATiTUDE WINDOWS 10 CORE 2 DUO 4GB RAM WIN DVD WIFI PC HD COMPUTER,$233.00,Free shipping
1,HP Chromebook 11 G4 Laptop Intel 2.16GHz 4GB Memory 16GB SSD Bluetooth Wifi - C,$99.95,Free shipping
2,"*BRAND NEW* 2-in-1 Laptop 13.3” FHD Touchscreen, Intel Core i3, 128GB SSD, Win10",$324.95,Free shipping
3,HP LAPTOP WINDOWS 10 PC CORE i5 2.4GHz 4GB RAM WiFi DVDRW NOTEBOOK 250GB HD WIN,$289.00,Free shipping
4,"NEW Acer Chromebook 15.6"" HD Intel N4000 4GB RAM 32GB eMMC + Protective Sleeve",$249.99,Free shipping
5,Dell Latitude Business Gaming Laptop HD Intel Core i5 3.20GHz 16GB RAM 2TB SSD,$311.00 to $687.00,Free shipping
6,"Acer Chromebook C720P-2457 11.6"" 4GB RAM 32GB SSD White Cosmetic Issue",$109.99,Free shipping
7,"Samsung Chromebook XE303C12 11.6in 16GB, Samsung Exynos 5 Dual-Core",$109.99,Free shipping
8,"NEW - HP 15.6"" HD Red Laptop Intel Quad Core 2.7GHz 4GB RAM Webcam Windows 10",$379.95,Free shipping
9,"Alienware M15 15.6"" (1TB + 128GB, Intel Core i7 8th Gen., 4.1GHz, 16GB) Laptop -",$202.50,+$40.00 shipping
10,Dell Latitude Gaming Laptop 🎮 HD LED Intel Core i5 16GB RAM 256GB SSD HDMI,$438.99,Free shipping
11,"Dell Latitude 14"" E6420 Laptop Intel Core i5 2.4GHz 4GB - 250GB HDD Windows 10",$184.95,Free shipping
12,"Acer Chromebook C720-2844 11.6"" 2955U 4GB 16GB WiFi BlueTooth Chrome OS Charger",$94.50,Free shipping
13,"Lenovo T420 14"" Laptop Intel Core i5 2.6GHz 4GB RAM 320GB HDD Windows 10",$164.95,Free shipping
14,Lenovo 11e 4th Gen - Intel CPU - 8GB RAM - 256GB M.2 SSD -Webcam- Windows 10 Pro,$175.00,Free shipping
15,"Fast Dell Latitude 10.1"" Laptop Computer Windows 10 Netbook PC Intel 1.6GHz CPU",$129.99,Free shipping
16,"Dell Latitude e6430 Business / Gaming Laptop i5 16GB 512GB SSD 14"" HD Win 10 Pro",$249.99 to $439.99,Free shipping
17,Dell Latitude 3189 2-in-1 Touchscreen Convertible Laptop Windows 10 Pro,$220.09,Free shipping
18,"Microsoft - Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8GB Memor...",Tap item to see current priceSee price,Free shipping
19,"HP 15-BS212WM Notebook 15.6"" HD Celeron N4000 1.1GHz 4GB RAM 500GB HDD Win 10",$255.00,Free shipping
20,"HP - Spectre x360 2-in-1 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i...",Tap item to see current priceSee price,Free shipping
21,"Dell Venue 11 Pro T07G 10.8"" i5 1.60GHz 8GB Ram 256GB SSD Win10 MS office Kboard",$194.25,+$14.99 shipping
22,"HP EliteBook Folio 1040 G2 (14”, Intel i5-5300U, 256GB SSD, 8GB RAM, Win 10 Pro)",$195.50,+$15.40 shipping
